since,offer_id,status,type,user_id,stage,status_title,until,tag_id
1722263400,,on_hold,on_hold,,,rental.status.on_hold.title,1722272400,2d085f9c-0154-44c6-873e-4f144029cdcc
1722525000,,on_hold,on_hold,,,rental.status.on_hold.title,1722611400,94402028-9e7d-4494-8429-9dcd8da65fa6
1721919600,,on_hold,on_hold,,,rental.status.on_hold.title,1722006000,80c49681-7ead-4401-94e2-b5492d880674
1722152759,,on_hold,on_hold,,,rental.status.on_hold.title,1722239159,f77d8778-3ed6-4016-aeac-9cda98c7ccad
1722273000,,on_hold,on_hold,,,rental.status.on_hold.title,1722359400,2157efac-ac98-4177-8f66-c3ff2c91d6aa
1721838093,,on_hold,on_hold,,,rental.status.on_hold.title,1721924493,65335791-8020-4d72-b57f-583f0a32ff57
1722060273,,on_hold,on_hold,,,rental.status.on_hold.title,1722233073,e92ad24d-8500-48c2-80e0-bee5721178ef
1722350316,,on_hold,on_hold,,,rental.status.on_hold.title,1722523116,de99c328-d311-4ecd-a88a-7cb9f73f6bff
1722329100,,on_hold,on_hold,,,rental.status.on_hold.title,1722415500,7e022b8d-49ae-4424-a2dc-dc23416448a6
1722434413,,on_hold,on_hold,,,rental.status.on_hold.title,1722520813,0eb7b649-2f1a-4707-af1e-b291dfa08158
1722351600,,on_hold,on_hold,,,rental.status.on_hold.title,1722438000,09eb889c-93d5-4272-ab4a-3923f07436e7
1721836800,,on_hold,on_hold,,,rental.status.on_hold.title,1721923200,4455b0bb-c9a2-437a-b4fe-1210a203bf6d
1722495339,,on_hold,on_hold,,,rental.status.on_hold.title,1722581739,1d3f4ed5-a682-4126-b29a-8990a50ac26a
1722241500,,on_hold,on_hold,,,rental.status.on_hold.title,1722414300,e8331d03-4aee-40de-b88b-cc90936e1bbd
1722431700,,on_hold,on_hold,,,rental.status.on_hold.title,1722518100,f632e970-88f9-4e9a-b207-21ef9f379b90
1721926500,,on_hold,on_hold,,,rental.status.on_hold.title,1722012900,771f0923-b25a-4bf2-9702-109ebd3d1bcc
