Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
"[{'ReservationKey': 0, 'CarKey': 20728, 'CustomerName': 'Running Contract, 20116', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/8/2023 10:50:52 AM', 'ToDateTime': '8/9/2023 10:50:52 AM', 'DayRentValue': 0.0, 'Documents': None}]",200.0,,Dubai,Dubai Festival City,4,2020,36550,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20728,92606,KIA SPORTAGE
,200.0,,Dubai,Dubai Festival City,4,2018,62458,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20763,155314,CHEVROLET MALIBU
,200.0,,Dubai,Dubai Festival City,4,2016,14969,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20544,176000,FORD EXPLORER
,200.0,,Dubai,Dubai Festival City,4,2017,10750,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20582,192260,CADILLAC ATS
,200.0,,Dubai,Dubai Festival City,4,2017,10748,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20580,150210,CADILLAC ATS
,200.0,,Dubai,Dubai Festival City,4,2016,95382,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20404,159400,MINI COOPER
"[{'ReservationKey': 0, 'CarKey': 20496, 'CustomerName': 'Running Contract, 25855', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 10:55:39 AM', 'ToDateTime': '8/2/2024 10:55:39 AM', 'DayRentValue': 0.0, 'Documents': None}]",200.0,,Dubai,Dubai Festival City,4,2017,26598,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20496,163533,BMW 318 I
"[{'ReservationKey': 0, 'CarKey': 119970, 'CustomerName': 'Running Contract, 24831', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/6/2024 7:00:00 PM', 'ToDateTime': '6/7/2024 7:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",200.0,,Dubai,Dubai Festival City,4,2024,86853,2277,-1,0.0,1400.0,4,2,00971566299999,X CAR RENTAL,2,5,4500.0,119970,8622,CHEVROLET GROOVE
"[{'ReservationKey': 0, 'CarKey': 20655, 'CustomerName': 'Running Contract, 24799', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/4/2024 1:44:05 PM', 'ToDateTime': '6/4/2024 1:44:05 PM', 'DayRentValue': 0.0, 'Documents': None}]",200.0,,Dubai,Dubai Festival City,4,2019,67858,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20655,151700,CHEVROLET IMPALA
,250.0,,Dubai,Dubai Festival City,4,2017,65693,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20705,184606,"JEEP GRAND
CHEROKEE"
,250.0,,Dubai,Dubai Festival City,4,2014,18622,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20352,84751,TOYOTA  - TUNDRA
,250.0,,Dubai,Dubai Festival City,4,2025,40470,2277,-1,0.0,1750.0,4,2,00971566299999,X CAR RENTAL,2,5,6000.0,138784,4601,GEELY MONJARO
"[{'ReservationKey': 0, 'CarKey': 141210, 'CustomerName': 'Running Contract, 25574', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/16/2024 9:30:00 PM', 'ToDateTime': '7/17/2024 9:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",250.0,,Dubai,Dubai Festival City,4,2024,37030,2277,-1,0.0,1400.0,4,2,00971566299999,X CAR RENTAL,2,5,3500.0,141210,495,SUZUKI JIMNY
"[{'ReservationKey': 0, 'CarKey': 109137, 'CustomerName': 'Running Contract, 25778', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 2:30:00 PM', 'ToDateTime': '8/27/2024 2:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",250.0,,Dubai,Dubai Festival City,4,2024,64616,2277,-1,0.0,1750.0,4,2,00971566299999,X CAR RENTAL,2,5,6000.0,109137,27242,FORD TERRITIRY
"[{'ReservationKey': 0, 'CarKey': 117113, 'CustomerName': 'Running Contract, 25811', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 11:30:50 PM', 'ToDateTime': '7/30/2024 11:30:50 PM', 'DayRentValue': 0.0, 'Documents': None}]",250.0,,Dubai,Dubai Festival City,4,2022,81838,2277,-1,0.0,1750.0,4,2,00971566299999,X CAR RENTAL,2,5,6000.0,117113,60062,CHANGAN CS 85
"[{'ReservationKey': 0, 'CarKey': 128698, 'CustomerName': 'Running Contract, 25604', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/18/2024 5:00:00 PM', 'ToDateTime': '7/19/2024 5:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",250.0,,Dubai,Dubai Festival City,4,2024,50520,2277,-1,0.0,1400.0,4,2,00971566299999,X CAR RENTAL,2,5,5000.0,128698,9315,JETOUR DASHING
,250.0,,Dubai,Dubai Festival City,4,2016,77901,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20347,214920,AUDI A6
,250.0,,Dubai,Dubai Festival City,4,2016,57309,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20354,216427,AUDI A6
"[{'ReservationKey': 0, 'CarKey': 134905, 'CustomerName': 'Running Contract, 25805', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 7:00:00 PM', 'ToDateTime': '8/2/2024 7:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",250.0,,Dubai,Dubai Festival City,4,2024,87262,2277,-1,0.0,1750.0,4,2,00971566299999,X CAR RENTAL,2,5,6000.0,134905,6519,HONDA ZR V
"[{'ReservationKey': 0, 'CarKey': 126596, 'CustomerName': 'Running Contract, 24122', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/23/2024 8:00:20 PM', 'ToDateTime': '4/24/2024 8:00:20 PM', 'DayRentValue': 0.0, 'Documents': None}]",250.0,,Dubai,Dubai Festival City,4,2024,84874,2277,-1,0.0,1400.0,4,2,00971566299999,X CAR RENTAL,2,5,4000.0,126596,6079,JETOUR DASHING
"[{'ReservationKey': 0, 'CarKey': 126597, 'CustomerName': 'Running Contract, 25792', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 9:30:00 PM', 'ToDateTime': '7/29/2024 9:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",250.0,,Dubai,Dubai Festival City,4,2024,89843,2277,-1,0.0,1400.0,4,2,00971566299999,X CAR RENTAL,2,5,4000.0,126597,13064,JETOUR DASHING
"[{'ReservationKey': 0, 'CarKey': 20817, 'CustomerName': 'Running Contract, 25846', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 6:00:13 PM', 'ToDateTime': '8/1/2024 6:00:13 PM', 'DayRentValue': 0.0, 'Documents': None}]",250.0,,Dubai,Dubai Festival City,4,2021,65266,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20817,106551,SUZUKI JIMNY
"[{'ReservationKey': 0, 'CarKey': 20819, 'CustomerName': 'Running Contract, 25789', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 6:10:46 PM', 'ToDateTime': '7/29/2024 6:10:46 PM', 'DayRentValue': 0.0, 'Documents': None}]",250.0,,Dubai,Dubai Festival City,4,2021,40313,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20819,107328,SUZUKI JIMNY
,300.0,,Dubai,Dubai Festival City,4,2018,26253,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20775,233435,MERCEDES V 250
,300.0,,Dubai,Dubai Festival City,4,2019,74702,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20779,92604,Ford Mustang
"[{'ReservationKey': 0, 'CarKey': 59514, 'CustomerName': 'Running Contract, 25820', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 4:30:00 PM', 'ToDateTime': '7/31/2024 4:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",300.0,,Dubai,Dubai Festival City,4,2022,84815,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,59514,51891,NISSAN XTERRA
,300.0,,Dubai,Dubai Festival City,4,2021,54382,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20928,53000,AUDI A3
,300.0,,Dubai,Dubai Festival City,4,2021,72825,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20932,90462,AUDI - A3
,300.0,,Dubai,Dubai Festival City,4,2019,44298,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20947,90463,MINI COOPER CLUBMAN
"[{'ReservationKey': 0, 'CarKey': 126598, 'CustomerName': 'Running Contract, 25794', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 10:00:00 AM', 'ToDateTime': '8/14/2024 10:00:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",300.0,,Dubai,Dubai Festival City,4,2024,89783,2277,-1,0.0,1400.0,4,2,00971566299999,X CAR RENTAL,2,5,5000.0,126598,9186,JETOUR X70 PLUS
"[{'ReservationKey': 0, 'CarKey': 21020, 'CustomerName': 'Running Contract, 24160', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/25/2024 4:12:15 PM', 'ToDateTime': '4/26/2024 4:12:15 PM', 'DayRentValue': 0.0, 'Documents': None}]",300.0,,Dubai,Dubai Festival City,4,2021,60640,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,21020,46988,CADILLAC CT4
,300.0,,Dubai,Dubai Festival City,4,2022,86474,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,21003,62800,CHEVROLET MALIBU
