Plate No,Vehicle Type,Status
DXB-70359-Q,KIA PICANTO 2020 2WD,InWorkshop
DXB-70363-Q,KIA PICANTO 2020 2WD,InWorkshop
DXB-70365-Q,HYUNDAI ACCENT 2020 2WD,Hired
DXB-70366-Q,HYUNDAI ACCENT 2020 2WD,Hired
DXB-70376-Q,HYUNDAI ACCENT 2020 2WD,InWorkshop
DXB-70422-Q,HYUNDAI ACCENT 2020 2WD,Available
DXB-70430-Q,HYUNDAI ACCENT 2020 2WD,Hired
DXB-70441-Q,HYUNDAI ACCENT 2020 2WD,Hired
DXB-70449-Q,HYUNDAI ACCENT 2020 2WD,Hired
DXB-70452-Q,HYUNDAI ACCENT 2020 2WD,Hired
DXB-70459-Q,HYUNDAI ACCENT 2020 2WD,Available
DXB-70475-Q,HYUNDAI ACCENT 2020 2WD,ForSale
DXB-70488-Q,KIA PICANTO 2020 2WD,Hired
DXB-70492-Q,HYUNDAI ACCENT 2020 2WD,Available
DXB-70496-Q,HYUNDAI ACCENT 2020 2WD,Hired
DXB-70513-Q,HYUNDAI ACCENT 2020 2WD,Hired
DXB-72689-N,NISSAN SUNNY 2022 2WD,Available
DXB-73133-O,NISSAN SUNNY 2022 2WD,Hired
DXB-73606-T,CHEVROLET SPARK 2019 2WD,Hired
DXB-74175-N,NISSAN SUNNY 2022 2WD,Hired
DXB-74556-P,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",ForSale
DXB-75060-O,MAZDA CX5 2021 2WD,Hired
DXB-75712-T,NISSAN SUNNY 2020 2WD,NotReady
DXB-75721-T,NISSAN SUNNY 2020 2WD,Hired
DXB-75725-T,NISSAN SUNNY 2020 2WD,Hired
DXB-75828-T,NISSAN SUNNY 2020 2WD,Hired
DXB-75859-T,NISSAN SUNNY 2020 2WD,ForSale
DXB-76095-T,NISSAN SUNNY 2020 2WD,Hired
DXB-76122-T,NISSAN SUNNY 2020 2WD,Hired
DXB-76134-T,NISSAN SUNNY 2020 2WD,Hired
DXB-76149-T,NISSAN SUNNY 2020 2WD,OnNRM
DXB-76165-T,NISSAN SUNNY 2020 2WD,Hired
DXB-76195-T,NISSAN SUNNY 2020 2WD,Hired
DXB-76323-V,KIA SPORTAGE 2021 2WD,Available
DXB-77034-V,MAZDA CX5 2021 2WD,Hired
DXB-77256-V,KIA SPORTAGE 2021 2WD,Available
DXB-77327-N,KIA SPORTAGE 2021 2WD,Available
DXB-77407-O,NISSAN SUNNY 2022 2WD,Hired
DXB-77495-V,MAZDA CX5 2021 2WD,Hired
DXB-77836-N,NISSAN SUNNY 2019 2WD,Hired
DXB-77856-X,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",ForSale
DXB-77859-X,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",NotReady
DXB-77891-X,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",InWorkshop
DXB-77892-X,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",InWorkshop
DXB-77893-X,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",Hired
DXB-78280-V,KIA SPORTAGE 2021 2WD,Available
DXB-78490-V,MAZDA CX5 2021 2WD,ForSale
DXB-78728-V,KIA SPORTAGE 2021 2WD,Available
DXB-79231-P,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",InWorkshop
DXB-79269-V,KIA SPORTAGE 2021 2WD,Available
DXB-79476-V,MAZDA CX5 2021 2WD,Hired
DXB-79478-V,MAZDA CX5 2021 2WD,InWorkshop
DXB-79583-O,NISSAN SUNNY 2022 2WD,Hired
DXB-80385-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-80389-O,HYUNDAI CRETA 2020 2WD,Hired
DXB-80392-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-80394-O,HYUNDAI CRETA 2020 2WD,Hired
DXB-80410-O,HYUNDAI ACCENT 2020 2WD,InWorkshop
DXB-80412-O,NISSAN SUNNY 2020 2WD,InWorkshop
DXB-80413-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-80416-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-80436-O,HYUNDAI ACCENT 2020 2WD,InWorkshop
DXB-80438-O,NISSAN SUNNY 2020 2WD,Available
DXB-80471-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-80473-O,NISSAN MICRA 2020 2WD,Hired
DXB-80479-O,NISSAN MICRA 2020 2WD,Hired
DXB-80510-O,NISSAN MICRA 2020 2WD,Hired
DXB-80515-O,NISSAN MICRA 2020 2WD,Hired
DXB-80519-O,NISSAN SUNNY 2020 2WD,InWorkshop
DXB-80520-O,NISSAN MICRA 2020 2WD,Hired
DXB-80524-O,NISSAN MICRA 2020 2WD,Hired
DXB-80526-O,NISSAN MICRA 2020 2WD,Hired
DXB-80527-O,NISSAN MICRA 2020 2WD,Hired
DXB-80531-O,HYUNDAI ACCENT 2020 2WD,Available
DXB-80540-O,HYUNDAI TUCSON 2020 2WD,Hired
DXB-80548-O,HYUNDAI TUCSON 2020 2WD,Available
DXB-80570-O,HYUNDAI TUCSON 2020 2WD,Hired
DXB-80574-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-80577-O,HYUNDAI ACCENT 2020 2WD,TotalLoss
DXB-80587-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-80592-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-80958-O,HYUNDAI CRETA 2020 2WD,Hired
DXB-80965-O,HYUNDAI ACCENT 2020 2WD,InWorkshop
DXB-80970-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-80972-O,HYUNDAI ACCENT 2020 2WD,InWorkshop
DXB-81003-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81004-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81005-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81006-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81015-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81032-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81036-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81040-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81047-O,NISSAN SUNNY 2020 2WD,Hired
DXB-81050-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81052-O,HYUNDAI CRETA 2020 2WD,Hired
DXB-81074-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81083-O,NISSAN MICRA 2020 2WD,Available
DXB-81085-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81090-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81092-O,HYUNDAI ACCENT 2020 2WD,InWorkshop
DXB-81095-O,NISSAN SUNNY 2020 2WD,Hired
DXB-81107-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81147-O,HYUNDAI TUCSON 2020 2WD,Available
DXB-81159-O,HYUNDAI ACCENT 2020 2WD,Hired
DXB-81174-O,NISSAN MICRA 2020 2WD,Hired
DXB-82664-W,MAZDA 3 2019 2WD,Hired
DXB-82665-W,MAZDA 3 2019 2WD,Hired
DXB-82667-W,MAZDA 3 2019 2WD,Hired
DXB-82668-W,MAZDA 3 2019 2WD,Available
DXB-82669-W,MAZDA 3 2019 2WD,Hired
DXB-82670-W,MAZDA 3 2019 2WD,ForSale
DXB-82671-W,MAZDA 3 2019 2WD,NotReady
DXB-82672-W,MAZDA 3 2019 2WD,Available
DXB-83721-O,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",Available
DXB-85027-N,KIA SPORTAGE 2021 2WD,Available
DXB-85726-P,NISSAN SUNNY 2022 2WD,Hired
DXB-86603-P,NISSAN SUNNY 2022 2WD,Hired
DXB-87108-N,KIA SPORTAGE 2021 2WD,Hired
DXB-87153-O,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",Hired
DXB-89872-N,KIA SPORTAGE 2021 2WD,NotReady
DXB-91285-P,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",InWorkshop
DXB-91561-J,NISSAN SUNNY 2020 2WD,Hired
DXB-91734-N,KIA SPORTAGE 2021 2WD,Hired
DXB-91880-O,NISSAN SUNNY 2022 2WD,Hired
DXB-91924-N,NISSAN SUNNY 2020 2WD,NotReady
DXB-92048-K,KIA PEGAS 2021 2WD,NotReady
DXB-92379-F,"2021, NISSAN PATROL SE PLATINUM 2021 - Petrol 4WD",InWorkshop
DXB-92716-O,NISSAN SUNNY 2022 2WD,Hired
DXB-92849-O,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",Hired
DXB-93080-U,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",Hired
DXB-93552-U,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",Available
DXB-93567-U,HYUNDAI PALISADE 2022 4WD,Available
DXB-93582-U,"2022, PEUGEOT 3008 2022 - ACTIVE - Petrol 2WD",InWorkshop
DXB-94064-K,NISSAN MICRA 2020 2WD,Hired
DXB-94066-K,NISSAN MICRA 2020 2WD,Hired
DXB-94069-K,NISSAN MICRA 2020 2WD,Hired
DXB-94071-K,NISSAN MICRA 2020 2WD,Hired
DXB-94073-K,NISSAN MICRA 2020 2WD,InWorkshop
DXB-94076-K,NISSAN MICRA 2020 2WD,Available
DXB-94078-K,NISSAN MICRA 2020 2WD,Hired
DXB-94090-K,NISSAN MICRA 2020 2WD,InWorkshop
DXB-94092-K,NISSAN MICRA 2020 2WD,Hired
DXB-94098-K,NISSAN MICRA 2020 2WD,Hired
DXB-94101-K,NISSAN MICRA 2020 2WD,Hired
DXB-94103-K,NISSAN MICRA 2020 2WD,Hired
DXB-94108-K,NISSAN MICRA 2020 2WD,Hired
DXB-94110-K,NISSAN MICRA 2020 2WD,Hired
DXB-94115-K,NISSAN MICRA 2020 2WD,Hired
DXB-94117-K,NISSAN MICRA 2020 2WD,Hired
DXB-94119-K,NISSAN MICRA 2020 2WD,Hired
DXB-94122-K,NISSAN MICRA 2020 2WD,Hired
DXB-94126-K,NISSAN MICRA 2020 2WD,InWorkshop
DXB-94153-K,NISSAN MICRA 2020 2WD,Hired
DXB-94160-K,NISSAN MICRA 2020 2WD,Available
DXB-94164-K,NISSAN MICRA 2020 2WD,Hired
DXB-94167-K,NISSAN MICRA 2020 2WD,Hired
DXB-94169-K,NISSAN MICRA 2020 2WD,Hired
DXB-94171-K,NISSAN MICRA 2020 2WD,NotReady
DXB-94174-K,NISSAN MICRA 2020 2WD,Hired
DXB-94176-K,NISSAN MICRA 2020 2WD,NotReady
DXB-94178-K,NISSAN MICRA 2020 2WD,Available
DXB-95134-O,NISSAN MICRA 2020 2WD,Available
DXB-96213-N,KIA SPORTAGE 2021 2WD,Hired
DXB-96391-T,"2017, AUDI AUDI A6 2017 - 2WD",ForSale
DXB-99385-O,NISSAN MICRA 2020 2WD,Available
