Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
"[{'ReservationKey': 0, 'CarKey': 80676, 'CustomerName': 'Running Contract, 62', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/27/2021 8:30:00 PM', 'ToDateTime': '6/27/2021 8:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2022,7495,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,80676,45690,MERCEDES GLA
"[{'ReservationKey': 0, 'CarKey': 3415, 'CustomerName': 'Running Contract, 997', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '11/9/2023 8:41:00 PM', 'ToDateTime': '11/3/2024 8:41:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2019,32136,2826,-1,-1.0,0.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,0.0,3415,181000,MG 360
"[{'ReservationKey': 0, 'CarKey': 3449, 'CustomerName': 'Running Contract, 1232', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/25/2024 3:15:00 PM', 'ToDateTime': '4/24/2024 3:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2019,35105,2826,-1,-1.0,0.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,0.0,3449,169254,MG 360
,100.0,,DUBAI,UAE,4,2019,38767,2826,-1,-1.0,0.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,0.0,3455,128305,MG 360
"[{'ReservationKey': 0, 'CarKey': 3431, 'CustomerName': 'Running Contract, 1348', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/24/2024 8:00:00 PM', 'ToDateTime': '7/24/2024 8:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2019,56142,2826,-1,-1.0,0.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,0.0,3431,140945,MG 360
,100.0,,DUBAI,UAE,4,2019,62998,2826,-1,-1.0,0.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,0.0,3443,178012,MG 360
"[{'ReservationKey': 0, 'CarKey': 3470, 'CustomerName': 'Running Contract, 1373', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/23/2024 1:30:00 PM', 'ToDateTime': '7/24/2024 1:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2019,76102,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,3470,155753,MG 360
"[{'ReservationKey': 0, 'CarKey': 3437, 'CustomerName': 'Running Contract, 1378', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 3:30:00 PM', 'ToDateTime': '8/27/2024 3:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2021,95542,2826,-1,-1.0,0.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,0.0,3437,135123,MG 360
"[{'ReservationKey': 0, 'CarKey': 141127, 'CustomerName': 'Running Contract, 1382', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 9:00:00 PM', 'ToDateTime': '8/30/2024 9:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2025,36201,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,141127,201,MG 5
,100.0,,DUBAI,UAE,4,2025,36202,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,141130,0,MG 5
,100.0,,DUBAI,UAE,4,2025,36782,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,141128,315,MG 5
"[{'ReservationKey': 0, 'CarKey': 141129, 'CustomerName': 'Running Contract, 1356', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/5/2024 2:50:00 PM', 'ToDateTime': '8/4/2024 2:50:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2025,38292,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,141129,39,MG 5
"[{'ReservationKey': 0, 'CarKey': 141126, 'CustomerName': 'Running Contract, 1352', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/3/2024 1:30:00 PM', 'ToDateTime': '8/2/2024 1:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",150.0,,DUBAI,UAE,4,2025,39536,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,141126,10,MG ZS
,400.0,,DUBAI,UAE,4,2024,57871,2826,-1,-1.0,2100.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,6500.0,128790,44,MINI COOPER
"[{'ReservationKey': 0, 'CarKey': 61787, 'CustomerName': 'Running Contract, 1236', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/27/2024 8:45:00 AM', 'ToDateTime': '4/26/2024 8:45:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2022,36893,2826,-1,-1.0,0.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,0.0,61787,22315,MIT ATTRAGE
