status_title,since,booking_status,stage,status,until,type,tag_id,offer_id,user_id
rental.status.on_hold.title,1722170280,,,on_hold,1722256680,on_hold,64074490-5470-40a2-a02a-5defc8be7253,,
rental.status.on_hold.title,1722256680,,,on_hold,1722317400,on_hold,e075bbcc-ad04-4f60-9a94-22f40de489ad,,
rental.status.on_hold.title,1721844900,,,on_hold,1721931300,on_hold,cf641a91-c1b0-4936-9801-bf14ab7baaea,,
rental.status.on_hold.title,1722006900,,,on_hold,1722093300,on_hold,e5401741-643c-4c92-9437-60b5a40db13d,,
rental.status.on_hold.title,1722151500,,,on_hold,1722237900,on_hold,172adbe9-c7fc-40a8-beee-b27cd5a616df,,
rental.status.on_hold.title,1722318300,,,on_hold,1722404700,on_hold,ff9a2d02-0b6e-43fa-92e2-e488d9766415,,
rental.status.on_hold.title,1721999100,,,on_hold,1722085500,on_hold,f1070552-7322-4b36-93e9-1f3360735a7d,,
rental.status.on_hold.title,1722147000,,,on_hold,1722319800,on_hold,d81973e6-94e1-434a-a45b-826368b41a77,,
rental.status.on_hold.title,1722420000,,,on_hold,1723284000,on_hold,4ccbd24c-9aff-45b9-9e3f-74c3d98fe40d,,
rental.status.on_hold.title,1721922300,,,on_hold,1722008700,on_hold,ca90077c-8b1d-48ef-bb41-fa64a1352ec7,,
rental.status.on_hold.title,1722274500,,,on_hold,1722792900,on_hold,4c531b95-0555-47a8-9430-88b75e3144d6,,
rental.status.on_hold.title,1716446700,,,on_hold,1724222700,on_hold,1b8a9d73-41ad-4d54-846e-7e25b7dc2c16,,
rental.status.on_hold.title,1722519900,,,on_hold,1722865500,on_hold,ce07ae51-68d4-4bfd-aaaf-cc6ac7f7f367,,
rental.status.on_hold.title,1721638800,,,on_hold,1721984400,on_hold,1b695fc9-dc65-4d12-8390-85fbc9b6d345,,
rental.status.on_hold.title,1717995720,,,on_hold,1725771720,on_hold,babd0604-786d-4eb1-beca-48c3edd46786,,
rental.status.on_hold.title,1722097140,,,on_hold,1722183540,on_hold,6ad38c8f-fec3-439a-b1ec-cf2e5369fb98,,
rental.status.on_hold.title,1721386500,,,on_hold,1722164100,on_hold,ad4d8bb4-bcc6-4267-8562-ce0985822d20,,
rental.status.on_hold.title,1722190740,,,on_hold,1722881940,on_hold,78ced6d4-b2d2-4764-9d6a-6ed6a70c4abc,,
rental.status.on_hold.title,1721908500,,,on_hold,1722081300,on_hold,373eca37-ee4c-4da8-ae20-2c0cd41cca72,,
rental.status.on_hold.title,1722081300,,,on_hold,1722106800,on_hold,29eeeebd-2650-433f-85da-9aa365365e28,,
rental.status.on_hold.title,1722249300,,,on_hold,1722335700,on_hold,81d5e603-1a1f-40b3-8c41-596c0dbbed8a,,
rental.status.on_hold.title,1722464820,,,on_hold,1722637620,on_hold,47035c9c-507b-49f6-9b21-29cd1197b409,,
rental.status.on_hold.title,1721219400,,,on_hold,1722083400,on_hold,38574f11-553e-4d32-891c-f571552bcc04,,
rental.status.on_hold.title,1722444300,,,on_hold,1722703500,on_hold,8bc771e6-4f5f-419f-8f35-d5671c95e753,,
rental.status.on_hold.title,1722510720,,,on_hold,1722683520,on_hold,6f1db270-fc14-42c1-99c5-1bf0d22aa7fe,,
rental.status.on_hold.title,1711773600,,,on_hold,1743309600,on_hold,520cd5b6-9954-42cc-b04f-9a0aaa0aa84f,,
